cruise_id	n_files	lon_min	lon_max	lat_min	lat_max	lon_center	lat_center	total_lines	n_keep	n_review	n_hv_review	n_exclude
MR06-05	88	76.974735	150.872797	-7.729966	40.285033	113.9	16.3	56631343.0	88	0	0	0
MR04-08	66	133.701288	156.205669	-5.087528	40.950921	145.0	17.9	53052862.0	66	0	0	0
MR02-K06	63	-179.780365	179.938536	-5.111015	39.600811	0.1	17.2	42089692.0	0	0	0	63
MR03-K04	61	-75.848431	12903.4	-58.268235	-19.8376	6413.8	-39.1	71351736.0	29	0	0	0
MR06-03	58	141.624569	165.16541	34.938061	51.072299	153.4	43.0	36011326.0	58	0	0	0
KY09-01	56	89.809732	143.578711	-8.895356	35.040922	116.7	13.1	29902250.0	0	0	56	0
MR05-03	53	88.057427	144.430815	-12.738975	42.527057	116.2	14.9	34533927.0	53	0	0	0
MR01-K04	50	-180.020252	180.016957	29.94259	59.004081	-0.0	44.5	36559427.0	48	0	0	0
MR04-03	50	89.878001	142.712458	-12.785068	40.9449	116.3	14.1	32415606.0	50	0	0	0
MR01-K05	47	89.864057	142.519702	-10.043756	41.154175	116.2	15.6	33343976.0	47	0	0	0
MR01-K03	44	141.954437	170.508728	25.886564	50.090654	156.2	38.0	26844689.0	44	0	0	0
MR06-04	44	-179.670801	170.298759	40.117517	68.506383	-4.7	54.3	43061790.0	44	0	0	0
MR00-K06	41	-163.687447	167.65532	41.006621	166.961347	2.0	104.0	48686503.0	35	0	0	0
MR00-K08	41	-180.009594	179.72414	-0.188897	41.533028	-0.1	20.7	27161380.0	40	0	0	0
MR05-04	41	-179.85681	179.703157	34.979443	51.349167	-0.1	43.2	25271537.0	41	0	0	0
MR06-01	39	141.871086	156.163754	-5.070409	38.495376	149.0	16.7	27709581.0	39	0	0	0
MR07-03	38	133.83867	156.754026	-5.090286	40.352117	145.3	17.6	29125865.0	38	0	0	0
MR07-01	37	141.584252	155.284599	-0.034653	44.09042	148.4	22.0	21701256.0	37	0	0	0
KY13-02	35	136.010676	139.634464	33.03807	35.071973	137.8	34.1	5782342.0	35	0	0	0
MR00-K07	35	89.721483	146.889982	-6.477473	41.360066	118.3	17.4	21331919.0	35	0	0	0
KR10-10	34	135.4786276	142.256712	35.554988	41.645156	138.9	38.6	57851931.0	34	0	0	0
KY13-08	34	134.485897	139.73708	32.523336	35.085502	137.1	33.8	9355189.0	34	0	0	0
KY10-13	33	137.058725	141.855559	20.028194	35.04654	139.5	27.5	10462714.0	33	0	0	0
MR00-K03	32	141.774557	159.959921	41.09556	49.771636	150.9	45.4	12901755.0	32	0	0	0
