file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind
MR03-K02_bathymetry_dmo::20030527.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030527.dat	20030527.dat	.dat	20520588	621836.0	3.0	True	False	168.957592	171.753904	16.177715	18.569295	3112.5	5832.1	positive	ok_xyz_3col		 169.028646  18.558248  5257.300 | 169.027375  18.556115  5233.900 | 169.026311  18.554330  5211.600 | 169.025120  18.552335  5185.000 | 169.024068  18.550569  5161.000	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030527	unknown_or_survey
MR03-K02_bathymetry_dmo::20030606.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030606.dat	20030606.dat	.dat	30236745	916265.0	3.0	True	False	144.380959	146.836236	13.147943	13.860271	350.27	10019.0	positive	ok_xyz_3col		 146.733177  13.298889  8622.400 | 146.734207  13.295309  8612.800 | 146.734985  13.292606  8612.900 | 146.735279  13.291688  8779.700 | 146.738005  13.282110  8606.900	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030606	unknown_or_survey
MR03-K02_bathymetry_dmo::20030529.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030529.dat	20030529.dat	.dat	18638532	564804.0	3.0	True	False	170.689464	171.264698	14.057643	15.399637	4218.3	7055.1	positive	ok_xyz_3col		 171.264698  15.374351  5524.500 | 171.262700  15.374752  5523.400 | 171.260633  15.375170  5540.000 | 171.258633  15.375573  5543.400 | 171.257065  15.375888  5543.700	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030529	unknown_or_survey
MR03-K02_bathymetry_dmo::20030524.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030524.dat	20030524.dat	.dat	16957677	513869.0	3.0	True	False	155.374062	160.669031	24.25244	27.455479	3859.0	6384.6	positive	ok_xyz_3col		 155.448879  27.442984  6019.000 | 155.447957  27.441738  6014.400 | 155.446881  27.440282  6011.600 | 155.445805  27.438827  6006.300 | 155.444969  27.437696  5998.500	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030524	unknown_or_survey
MR03-K02_bathymetry_dmo::20030528.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030528.dat	20030528.dat	.dat	19715058	597426.0	3.0	True	False	171.051992	171.601928	15.350674	16.473378	5154.2	6974.7	positive	ok_xyz_3col		 171.512719  16.469906  5396.400 | 171.514006  16.463406  5513.100 | 171.514369  16.461549  5497.100 | 171.515819  16.454153  5479.200 | 171.516397  16.451216  5491.900	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030528	unknown_or_survey
MR03-K02_bathymetry_dmo::20030525.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030525.dat	20030525.dat	.dat	15636390	473830.0	3.0	True	False	160.598015	164.103525	22.020965	24.347206	1441.2	7327.8	positive	ok_xyz_3col		 160.666245  24.341526  5366.400 | 160.665161  24.340197  5365.500 | 160.663943  24.338703  5373.800 | 160.662898  24.337424  5366.600 | 160.661922  24.336230  5356.700	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030525	unknown_or_survey
MR03-K02_bathymetry_dmo::20030522.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030522.dat	20030522.dat	.dat	17611572	533684.0	3.0	True	False	143.666017	149.812443	30.172398	33.15211	3560.4	6280.6	positive	ok_xyz_3col		 143.747606  33.152110  5444.300 | 143.746525  33.150571  5445.800 | 143.744679  33.147943  5439.600 | 143.743306  33.145985  5428.600 | 143.741910  33.143998  5422.300	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030522	unknown_or_survey
MR03-K02_bathymetry_dmo::20030523.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030523.dat	20030523.dat	.dat	18392088	557336.0	3.0	True	False	149.739789	155.458546	27.34298	30.297192	4736.3	6335.5	positive	ok_xyz_3col		 149.811931  30.287998  5839.400 | 149.810847  30.286259  5838.100 | 149.809803  30.284581  5837.500 | 149.808865  30.283076  5840.900 | 149.807811  30.281384  5849.600	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030523	unknown_or_survey
MR03-K02_bathymetry_dmo::20030521.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030521.dat	20030521.dat	.dat	12059949	365453.0	3.0	True	False	139.904854	143.747163	33.034611	34.805869	1000.4	9380.4	positive	ok_xyz_3col		 139.928958  34.805869  1026.100 | 139.928773  34.805647  1040.400 | 139.928549  34.805380  1052.000 | 139.927964  34.804670  1053.600 | 139.927722  34.804374  1045.800	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030521	unknown_or_survey
MR03-K02_bathymetry_dmo::20030526.dat	MR03-K02_bathymetry_dmo	MR03-K02_bathymetry_dmo/20030526.dat	20030526.dat	.dat	19783698	599506.0	3.0	True	False	164.312806	169.039621	18.447052	21.908764	3131.2	5712.7	positive	ok_xyz_3col		 164.389649  21.906510  5342.200 | 164.388346  21.905057  5325.400 | 164.386849  21.903381  5323.100 | 164.385622  21.902006  5328.400 | 164.384444  21.900686  5333.600	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K02	20030526	unknown_or_survey
