subzip_id	n_files	n_dat_files	n_pdf_files	n_txt_files	n_readable_dat	n_bad_dat	total_size_bytes	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	contains_transit	cruise_id_guess	status	notes
20120408	1	1	0	0	1	0	2599542	137.421568	137.710719	40.935987	41.02941	3311.7	3726.9	positive	False	20120408	ok	
20120410	1	1	0	0	1	0	5150475	137.624679	138.147189	40.936162	41.032437	3502.7	3759.0	positive	False	20120410	ok	
20120413	1	1	0	0	1	0	39144204	138.095769	140.203409	40.938979	41.032522	86.49	3748.5	positive	False	20120413	ok	
20120416	1	1	0	0	1	0	17603388	138.275752	139.473517	41.551865	41.644272	1177.9	3735.8	positive	False	20120416	ok	
20120417	1	1	0	0	1	0	44510928	139.381502	140.200533	41.113533	41.617813	75.48	2726.4	positive	False	20120417	ok	
20120418	1	1	0	0	1	0	45343683	138.940817	140.156282	40.946913	41.157694	122.95	3277.2	positive	False	20120418	ok	
20120419	1	1	0	0	1	0	33652476	137.841136	140.016712	40.809989	40.903012	136.36	4285.7	positive	False	20120419	ok	
20120420	1	1	0	0	1	0	26338521	138.077924	139.654832	40.355793	41.002176	76.87	3755.3	positive	False	20120420	ok	
20120421	1	1	0	0	1	0	9178290	139.325628	139.700346	40.539993	40.693282	579.9	2627.0	positive	False	20120421	ok	
20120424	1	1	0	0	1	0	39889443	139.126617	139.761625	40.69049	41.728881	527.5	3317.8	positive	False	20120424	ok	
20120425	1	1	0	0	1	0	10527396	139.712566	139.760623	41.72858	42.086507	861.1	1427.8	positive	False	20120425	ok	
20120428	1	1	0	0	1	0	16784526	138.135422	139.279812	40.684446	40.899482	2756.2	3598.4	positive	False	20120428	ok	
20120429	1	1	0	0	1	0	16940286	137.421325	138.392326	40.683049	41.031834	3171.5	3704.6	positive	False	20120429	ok	
20120430	1	1	0	0	1	0	20447493	137.932042	139.147113	40.944371	41.167861	2525.2	3719.8	positive	False	20120430	ok	
20120501	1	1	0	0	1	0	23099538	137.902647	139.511167	41.207874	41.449159	1072.6	3737.2	positive	False	20120501	ok	
20120502	1	1	0	0	1	0	11591778	138.450172	139.154417	41.382501	41.474177	1226.7	3736.1	positive	False	20120502	ok	
20120505	1	1	0	0	1	0	11754864	138.475955	139.481131	40.602726	41.018625	1070.5	3846.7	positive	False	20120505	ok	
20120506	1	1	0	0	1	0	21031791	138.912767	139.020838	40.591581	41.658614	1128.4	3382.5	positive	False	20120506	ok	
20120507	1	1	0	0	1	0	26030565	138.345486	138.467752	40.057134	41.689667	2172.3	3738.7	positive	False	20120507	ok	
20120508	1	1	0	0	1	0	7120113	138.069632	138.541409	40.045449	40.279455	2166.3	3075.3	positive	False	20120508	ok	
KH-18-J02C_bathymetry_dmo	5	1	4	0	1	0	13460954	141.01376	143.209754	35.739813	39.560037	96.174	2351.481	positive	False	KH-18-J02C	ok	
KH-18-J03C_bathymetry_dmo	5	1	4	0	1	0	9342241	141.645162	143.278028	37.833328	40.386499	111.115	1735.148	positive	False	KH-18-J03C	ok	
KH-20-J01_bathymetry_dmo	5	1	4	0	1	0	23551840	132.622221	141.953811	32.652926	35.078446	81.952	9272.803	positive	True	KH-20-J01	ok	
KM16-01_leg1_bathymetry	4	0	4	0	0	0	837440								False		ok	
KM16-01_leg2_bathymetry	4	0	4	0	0	0	847833								False		ok	
KM16-02_leg1_bathymetry	4	0	4	0	0	0	853959								False		ok	
KM16-02_leg2_bathymetry	4	0	4	0	0	0	846577								False		ok	
KM16-03_bathymetry	4	0	4	0	0	0	852468								False		ok	
KM16-04_bathymetry_dmo	6	2	4	0	2	0	20396121	138.356328	141.291755	33.704919	35.109309	70.951	5910.917	positive	True	KM16-04	ok	
KM16-05_leg1_bathymetry	4	0	4	0	0	0	846588								False		ok	
KM16-05_leg2_bathymetry_dmo	6	2	4	0	2	0	7656531	138.511311	139.695892	33.542901	34.961512	85.763	3371.269	positive	True	KM16-05	ok	
