ship_code	cruise_id_guess	n_files	n_subzips	lon_min	lon_max	lat_min	lat_max	n_keep	n_exclude
	20120408	1	1	137.421568	137.710719	40.935987	41.02941	1	0
	20120410	1	1	137.624679	138.147189	40.936162	41.032437	1	0
	20120413	1	1	138.095769	140.203409	40.938979	41.032522	1	0
	20120416	1	1	138.275752	139.473517	41.551865	41.644272	1	0
	20120417	1	1	139.381502	140.200533	41.113533	41.617813	1	0
	20120418	1	1	138.940817	140.156282	40.946913	41.157694	1	0
	20120419	1	1	137.841136	140.016712	40.809989	40.903012	1	0
	20120420	1	1	138.077924	139.654832	40.355793	41.002176	1	0
	20120421	1	1	139.325628	139.700346	40.539993	40.693282	1	0
	20120424	1	1	139.126617	139.761625	40.69049	41.728881	1	0
	20120425	1	1	139.712566	139.760623	41.72858	42.086507	1	0
	20120428	1	1	138.135422	139.279812	40.684446	40.899482	1	0
	20120429	1	1	137.421325	138.392326	40.683049	41.031834	1	0
	20120430	1	1	137.932042	139.147113	40.944371	41.167861	1	0
	20120501	1	1	137.902647	139.511167	41.207874	41.449159	1	0
	20120502	1	1	138.450172	139.154417	41.382501	41.474177	1	0
	20120505	1	1	138.475955	139.481131	40.602726	41.018625	1	0
	20120506	1	1	138.912767	139.020838	40.591581	41.658614	1	0
	20120507	1	1	138.345486	138.467752	40.057134	41.689667	1	0
	20120508	1	1	138.069632	138.541409	40.045449	40.279455	1	0
KH	KH-18-J02C	1	1	141.01376	143.209754	35.739813	39.560037	1	0
KH	KH-18-J03C	1	1	141.645162	143.278028	37.833328	40.386499	1	0
KH	KH-20-J01	1	1	132.622221	141.953811	32.652926	35.078446	1	0
KM	KM20-02	6	3	133.981369	144.543546	30.602579	39.118804	6	0
KM	KM16-08	4	2	139.681158	142.656586	32.315416	34.83105	4	0
KM	KM17-05	4	2	141.350755	146.761642	35.642369	41.517927	4	0
KM	KM17-07	4	2	139.965612	146.131443	0.0004	41.582159	4	0
KM	KM18-07C	4	2	126.097489	137.548084	25.853523	34.017698	4	0
KM	KM18-10	4	2	134.860476	138.775927	31.932674	34.31176	4	0
KM	KM21-07	4	2	131.752465	138.715803	30.793608	34.435737	4	0
KM	KM16-04	2	1	138.356328	141.291755	33.704919	35.109309	2	0
KM	KM16-05	2	1	138.511311	139.695892	33.542901	34.961512	2	0
KM	KM16-06	2	1	139.220761	142.263536	34.870144	36.28196	2	0
KM	KM16-07	2	1	138.376018	140.002523	31.981744	35.05586	2	0
KM	KM16-09	2	1	138.499936	139.784014	31.939194	35.032698	2	0
KM	KM16-10	2	1	138.382399	139.900997	32.08601	35.040778	2	0
KM	KM17-02	2	1	134.048032	138.654305	31.79172	33.966366	2	0
KM	KM17-04	2	1	137.796145	139.233317	32.773161	34.952173	2	0
KM	KM17-08C	2	1	128.060104	138.630101	27.02505	34.126433	2	0
KM	KM17-09	2	1	139.567889	144.38315	27.947273	34.78824	2	0
KM	KM17-10C	2	1	126.952128	130.931179	26.774778	28.71186	2	0
KM	KM17-12C	2	1	124.051604	139.53549	24.939538	34.709797	2	0
KM	KM17-13	2	1	138.490641	139.930935	32.441031	34.857028	2	0
KM	KM17-14C	2	1	139.751705	154.634468	19.50073	34.366196	2	0
KM	KM17-E01	2	1	145.625859	154.611377	22.843924	24.939365	2	0
KM	KM18-01	2	1	129.547241	138.966235	26.416261	34.408495	2	0
KM	KM18-02C	2	1	139.169008	140.111667	32.08727	33.949014	2	0
KM	KM18-04C	2	1	126.371104	138.115596	26.290007	33.898327	2	0
KM	KM18-05C	2	1	140.980836	142.822936	35.297121	40.292242	2	0
KM	KM18-06	2	1	140.244824	149.773301	34.94024	38.031312	2	0
KM	KM18-08C	2	1	127.040033	139.697295	26.30274	35.036258	2	0
KM	KM19-02	2	1	132.473633	142.104795	32.501753	35.014171	2	0
KM	KM19-03	2	1	141.6471	144.946969	35.882425	40.022875	2	0
KM	KM19-07	2	1	139.355636	142.882571	34.117764	36.162687	2	0
KM	KM19-09	2	1	134.256934	139.590741	32.064218	35.030477	2	0
KM	KM19-E01	2	1	128.147821	138.658987	28.013632	34.200756	2	0
KM	KM19-MSB-E01C	2	1	139.674381	142.992629	31.785114	35.031492	2	0
KM	KM20-01	2	1	136.833616	139.809106	32.628151	35.018606	2	0
KM	KM20-05	2	1	131.378991	139.604269	30.327998	34.866542	2	0
KM	KM20-09	2	1	138.355085	139.634741	34.526693	35.051423	2	0
KM	KM20-10C	2	1	138.354056	139.696384	30.605343	35.040298	2	0
KM	KM20-11	2	1	139.475032	142.040289	26.954348	34.783188	2	0
KM	KM20-E01C	2	1	138.096703	144.137982	34.01658	38.320428	2	0
KM	KM20-E02	2	1	140.021893	147.000373	34.861068	42.593897	2	0
KM	KM21-01	2	1	133.685923	142.2313	32.906926	35.004408	2	0
KM	KM21-04	2	1	139.672893	146.09713	34.75632	42.529193	2	0
KM	KM21-05	2	1	129.468911	139.107814	30.388168	34.699625	2	0
KM	KM21-11	2	1	134.989407	139.311483	32.854607	35.026123	2	0
KM	KM21-12	2	1	135.031852	138.561195	32.846042	34.562833	2	0
KM	KM21-13C	2	1	134.494641	137.812316	32.729686	34.035752	2	0
KM	KM21-E04C	2	1	138.526893	139.695223	29.158892	34.01568	2	0
KM	KM22-01	2	1	129.992144	138.12796	30.553176	34.352231	2	0
KM	KM22-02	2	1	126.406727	138.536131	24.407203	34.504254	2	0
KM	KM22-05	2	1	141.370051	145.215844	36.655328	41.775129	2	0
KM	KM22-06	2	1	133.307873	138.958029	32.611306	34.696191	2	0
KM	KM22-07	2	1	140.968875	146.652024	36.465748	42.518813	2	0
KM	KM22-10	2	1	135.05649	139.179398	32.355398	34.745596	2	0
KM	KM17-01	1	1	138.263275	144.329201	24.159872	34.736738	1	0
KM	KM17-03	1	1	139.189555	139.226483	34.852015	34.877194	1	0
KM	KM17-06C	1	1	138.018661	140.893982	43.442288	44.169701	1	0
KM	KM17-11C	1	1	126.805299	127.028698	27.660994	27.845503	1	0
KM	KM18-03	1	1	134.014095	139.094038	31.762532	34.758608	1	0
KM	KM18-09	1	1	136.861124	139.642804	33.354814	35.026131	1	0
KM	KM19-05C	1	1	142.29998	142.480134	38.992577	39.481019	1	0
KM	KM20-08	1	1	139.52778	144.247526	30.932299	35.079267	1	0
KM	KM21-E01	1	1	136.187202	139.736339	33.36029	35.054674	1	0
KM	KM21-E03	1	1	139.897789	141.592705	34.075568	34.827586	1	0
KR	KR10-10	34	2	135.4786276	142.256712	35.554988	41.645156	34	0
KR	KR11-05	32	2	139.680261	145.491384	26.707449	39.940007	32	0
KR	KR10-09	30	1	140.096898	150.264566	34.355957	41.451515	30	0
KR	KR11-09	29	1	134.639751	139.28722	31.891504	34.845013	29	0
KR	KR12-20	29	1	139.970041	145.29938	34.389136	38.311313	29	0
KR	KR07-09	25	1	134.357332	143.615866	27.827227	34.411016	25	0
KR	KR10-11	25	1	133.978726	139.633326	31.641998	35.055171	25	0
KR	KR11-03	24	1	133.621744	139.523733	18.419052	34.996135	24	0
KR	KR07-06	23	1	141.122325	155.043	33.37379	40.056463	23	0
KR	KR11-08	23	1	136.803872	143.871665	35.906774	41.359751	23	0
KR	KR08-10	22	1	142.417622	147.163568	38.488498	40.687457	22	0
KR	KR06-14	21	1	126.945873	150.668089	18.749457	34.813767	21	0
KR	KR10-12	21	1	139.991746	147.178593	34.680513	40.317817	21	0
KR	KR13-06	21	2	141.063066	145.221277	35.769822	39.204165	19	0
KR	KR04-14	20	2	125.51829	136.021536	17.947002	24.582833	20	0
KR	KR05-04	20	1	139.618788	146.711748	34.779051	42.741751	20	0
KR	KR05-16	20	1	134.180867	145.080218	20.625337	32.079622	20	0
KR	KR10-13	20	1	138.351393	143.82707	26.836013	35.070182	20	0
KR	KR05-06	19	1	135.572499	141.99024	21.033611	31.53681	19	0
KR	KR07-13	19	1	136.60872	143.5526	27.473914	29.488911	19	0
KR	KR10-08	19	1	139.791508	156.294892	34.770772	40.585092	19	0
KR	KR05-14	18	1	126.922581	150.67724	15.681059	30.732536	18	0
KR	KR06-07	18	1	136.727767	143.485074	24.008478	29.683845	18	0
KR	KR07-03	18	1	138.001643	145.260181	24.009342	34.458391	18	0
KR	KR09-14	18	1	132.459305	136.912561	31.066957	33.375822	18	0
KR	KR11-E03	18	1	141.865614	145.320323	36.954762	39.938632	18	0
KR	KR01-12	17	1	-157.900839	-154.02397	16.941274	21.492216	17	0
KR	KR08-15	17	1	126.957843	150.814044	18.768455	34.744007	17	0
KR	KR11-01	17	1	139.422563	144.020402	25.286117	35.124458	14	0
KR	KR11-10	17	1	140.007254	165.551191	28.67867	38.274847	17	0
KR	KR02-01	16	1	142.235662	145.045886	18.503697	26.670136	0	0
KR	KR03-10	16	1	-179.712021	179.87554	34.798185	49.90146	16	0
KR	KR03-13	16	1	142.531697	145.505875	12.431007	23.001327	16	0
KR	KR12-18	16	1	134.669743	139.202204	19.094491	34.662677	16	0
KR	KR04-15	15	1	133.620935	144.925767	26.46131	33.765885	15	0
KR	KR06-15	15	1	139.879178	147.811535	12.972859	34.440999	0	0
KR	KR12-01	15	1	125.314843	139.595264	23.793564	35.040386	14	0
KR	KR12-14	15	1	153.130134	159.940786	37.897167	41.223841	15	0
KR	KR01-11	14	1	-179.743075	179.963948	28.46604	42.289445	14	0
KR	KR03-12	14	1	144.446562	145.22211	16.494068	18.507997	14	0
KR	KR04-01	14	1	139.067339	139.870289	32.924701	34.679663	14	0
KR	KR04-08	14	1	141.841079	152.984497	35.070276	39.554849	14	0
KR	KR05-01	14	1	145.531737	157.286216	-4.441516	25.041688	14	0
KR	KR08-09	14	1	136.630483	140.978267	31.858876	33.788347	14	0
KR	KR10-07	14	1	138.406191	141.853445	31.78739	35.182431	14	0
KR	KR12-12	14	1	135.277555	139.137585	32.357223	34.516053	14	0
KR	KR02-16	13	1	138.490465	140.990761	30.261403	32.508831	13	0
KR	KR03-01	13	1	136.853844	139.967182	15.084524	20.849167	13	0
KR	KR03-04	13	2	124.265392	136.313732	18.616811	26.114402	13	0
KR	KR04-04	13	1	138.636883	140.283908	29.942682	34.361055	13	0
KR	KR06-05	13	1	137.245626	139.383472	27.125513	32.30102	13	0
KR	KR08-16	13	1	131.510624	133.978934	30.662422	32.619651	13	0
KR	KR10-05	13	1	156.809431	157.553104	-5.528168	-0.39535	13	0
