file_id	cruise_id_guess	subzip_id	source_file	track_kind	data_layout	line_count	n_file_cells	n_points_total	quality_flag	exclude_from_primary_cells	flag_reason	flag_source	residual_other_cruise_median	residual_other_cruise_mad	residual_other_cruise_rmse	residual_other_file_median	residual_other_file_mad	residual_other_file_rmse	recommended_action_from_06a	action_reason_from_06a
KY09-09_leg1_bathymetry_dmo::20091031.dat	KY09-09	KY09-09_leg1_bathymetry_dmo	KY09-09_leg1_bathymetry_dmo/20091031.dat	unknown_or_survey	lon_lat_depth_3col	244216.0	104	244216	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09				35.100000000000136	56.99999999999977	117.4573281693312	keep	insufficient overlap data for classification
KY09-09_leg1_bathymetry_dmo::20091101.dat	KY09-09	KY09-09_leg1_bathymetry_dmo	KY09-09_leg1_bathymetry_dmo/20091101.dat	unknown_or_survey	lon_lat_depth_3col	1555380.0	323	1555380	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	2.0	23.462291410644696	56.44231661644939	-25.100000000000136	67.60000000000014	114.15615251917376	keep	no significant bias or variance detected
KY09-09_leg1_bathymetry_dmo::20091102.dat	KY09-09	KY09-09_leg1_bathymetry_dmo	KY09-09_leg1_bathymetry_dmo/20091102.dat	unknown_or_survey	lon_lat_depth_3col	1472011.0	322	1472011	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	-11.055000000000007	35.13239385023053	74.65273974282039	-27.644999999999982	75.55500000000012	121.5880232746892	keep	no significant bias or variance detected
KY09-09_leg1_bathymetry_dmo::20091103.dat	KY09-09	KY09-09_leg1_bathymetry_dmo	KY09-09_leg1_bathymetry_dmo/20091103.dat	unknown_or_survey	lon_lat_depth_3col	1248213.0	282	1248213	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	10.100000000000136	31.850000000000023	67.57630585297001	18.112014925373103	53.450000000000045	91.90172539153733	keep	no significant bias or variance detected
KY09-09_leg1_bathymetry_dmo::20091104.dat	KY09-09	KY09-09_leg1_bathymetry_dmo	KY09-09_leg1_bathymetry_dmo/20091104.dat	unknown_or_survey	lon_lat_depth_3col	1304619.0	355	1304619	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	-0.6750000000001819	22.674999999999727	60.37634865988507	6.750000000000114	40.14999999999998	91.1535794424463	keep	no significant bias or variance detected
KY09-09_leg1_bathymetry_dmo::20091105.dat	KY09-09	KY09-09_leg1_bathymetry_dmo	KY09-09_leg1_bathymetry_dmo/20091105.dat	unknown_or_survey	lon_lat_depth_3col	712696.0	204	712696	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09				-12.79999999999984	82.19999999999982	135.07790067216766	keep	insufficient overlap data for classification
KY09-09_leg2_bathymetry_dmo::20091106.dat	KY09-09	KY09-09_leg2_bathymetry_dmo	KY09-09_leg2_bathymetry_dmo/20091106.dat	unknown_or_survey	lon_lat_depth_3col	116846.0	166	116846	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	-4280.65	205.35000000000036	4183.705755868179	-4280.65	205.35000000000036	4183.400970123007	exclude_candidate	n_other_cruise=159, abs(median)=4280.6m >= 500.0m
KY09-09_leg2_bathymetry_dmo::20091107.dat	KY09-09	KY09-09_leg2_bathymetry_dmo	KY09-09_leg2_bathymetry_dmo/20091107.dat	unknown_or_survey	lon_lat_depth_3col	430511.0	478	430511	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	-3179.7625	193.88749999999982	3521.994871971541	-3179.7625	194.41250000000014	3521.336952172472	exclude_candidate	n_other_cruise=478, abs(median)=3179.8m >= 500.0m
KY09-09_leg2_bathymetry_dmo::20091108.dat	KY09-09	KY09-09_leg2_bathymetry_dmo	KY09-09_leg2_bathymetry_dmo/20091108.dat	unknown_or_survey	lon_lat_depth_3col	338859.0	393	338859	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	-3158.65	161.95000000000027	3507.05684065657	-3158.65	162.75	3506.167034500301	exclude_candidate	n_other_cruise=393, abs(median)=3158.7m >= 500.0m
KY09-09_leg2_bathymetry_dmo::20091109.dat	KY09-09	KY09-09_leg2_bathymetry_dmo	KY09-09_leg2_bathymetry_dmo/20091109.dat	unknown_or_survey	lon_lat_depth_3col	231240.0	564	231240	exclude	True	extreme_cruise_bias_KY09_09	hardcoded_cruise:KY09-09	-4663.875	22.149999999999636	4665.876923672611	-4663.875	22.149999999999636	4665.867425426681	exclude_candidate	n_other_cruise=564, abs(median)=4663.9m >= 500.0m
