relative_path	filename	subzip_id	col_count	status	data_layout	notes	first_lines
MR01-K04_leg1_bathymetry_dmo/20010730.dat	20010730.dat	MR01-K04_leg1_bathymetry_dmo	3.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[-180.02,179.52] c2=[38.97,39.74] c3=[3747.00,5627.30]; col1/col2 outside lon/lat bounds	 173.575747  39.736181  4774.900 | 173.575332  39.734434  4777.900 | 173.574934  39.732761  4774.600 | 173.574522  39.731030  4769.600 | 173.574132  39.729392  4766.300
MR07-06_leg1_bathymetry_pi/grid_p14.dat	grid_p14.dat	MR07-06_leg1_bathymetry_pi	3.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[-35.64,59.00] c2=[175.03,186.01] c3=[124.50,7464.20]; col1/col2 outside lon/lat bounds	-35.6375 175.0350   222.9 | -35.6350 175.0275   219.1 | -35.6350 175.0300   221.3 | -35.6350 175.0325   223.8 | -35.6350 175.0350   224.2
MR07-06_leg1_bathymetry_pi/grid_p01.dat	grid_p01.dat	MR07-06_leg1_bathymetry_pi	3.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[39.66,47.09] c2=[145.45,235.05] c3=[98.40,7281.50]; col1/col2 outside lon/lat bounds	 42.9700 145.4525   100.5 | 42.9725 145.4525    98.8 | 42.9675 145.4550   101.2 | 42.9700 145.4550   100.3 | 42.9725 145.4550    98.8
MR07-06_leg1_bathymetry_pi/dist_p01.dat	dist_p01.dat	MR07-06_leg1_bathymetry_pi	4.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[0.00,7405.20] c2=[39.69,47.03] c3=[-179.43,179.45]; col1/col2 outside lon/lat bounds	    0.0  42.9715  145.4543    P01_1_1 | 10.5  42.8893  145.5183    P01_2_1 | 14.7  42.8552  145.5408    P01_3_1 | 20.8  42.8142  145.5897    P01_4_1 | 41.5  42.6440  145.6927    P01_5_1
MR07-06_leg1_bathymetry_pi/track_p14.dat	track_p14.dat	MR07-06_leg1_bathymetry_pi	4.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[0.00,10701.00] c2=[-35.63,58.99] c3=[-180.00,180.00]; col1/col2 outside lon/lat bounds	    0.0 -35.6343  175.0345   224.0 | 1.0 -35.6254  175.0363   235.5 | 2.0 -35.6165  175.0381   245.2 | 3.0 -35.6076  175.0399   254.2 | 4.0 -35.5987  175.0416   262.6
MR07-06_leg1_bathymetry_pi/track_p01.dat	track_p01.dat	MR07-06_leg1_bathymetry_pi	4.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[0.00,7405.00] c2=[39.70,47.03] c3=[-179.98,179.98]; col1/col2 outside lon/lat bounds	    0.0  42.9715  145.4543    99.9 | 1.0  42.9637  145.4604   104.0 | 2.0  42.9559  145.4665   111.9 | 7.0  42.9168  145.4969   159.7 | 8.0  42.9090  145.5030   219.7
MR07-06_leg1_bathymetry_pi/dist_p14.dat	dist_p14.dat	MR07-06_leg1_bathymetry_pi	4.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[0.00,10702.00] c2=[-35.63,59.00] c3=[-179.94,179.91]; col1/col2 outside lon/lat bounds	    0.0 -35.6343  175.0345   P14C_1_1 | 20.3 -35.4538  175.0707   P14C_2_1 | 45.3 -35.2305  175.1080   P14C_3_1 | 68.9 -35.0205  175.1485   P14C_4_1 | 90.7 -34.8262  175.1848   P14C_5_1
MR03-K04_leg4_bathymetry_dmo/track_p06.dat	track_p06.dat	MR03-K04_leg4_bathymetry_dmo	4.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[0.00,12903.40] c2=[-32.52,-30.01] c3=[-180.00,179.99]; col1/col2 outside lon/lat bounds	    0.0  -30.095  153.483    92.2 | 1.0  -30.093  153.493    97.7 | 2.0  -30.090  153.503   105.3 | 3.0  -30.088  153.513   114.5 | 4.0  -30.086  153.523   135.8
MR03-K04_leg4_bathymetry_dmo/track_i04.dat	track_i04.dat	MR03-K04_leg4_bathymetry_dmo	4.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[0.00,861.00] c2=[-24.67,-24.66] c3=[35.37,43.87]; col1/col2 outside lon/lat bounds	    0.0  -24.667   35.365   124.5 | 1.0  -24.667   35.375   136.5 | 2.0  -24.667   35.385   150.5 | 3.0  -24.667   35.395   164.2 | 4.0  -24.667   35.405   176.7
MR03-K04_leg4_bathymetry_dmo/grid_a10.dat	grid_a10.dat	MR03-K04_leg4_bathymetry_dmo	3.0	invalid_lonlat_range	unknown_or_non_bathymetry	col_range: c1=[312.60,375.00] c2=[-30.27,-27.73] c3=[160.90,5625.30]; col1/col2 outside lon/lat bounds	312.603 -27.73034 178.6 | 312.603 -27.73194 179.3 | 312.604 -27.72874 178.7 | 312.604 -27.73034 178.9 | 312.604 -27.73194 180.0
