file_id	input_path	output_path	rows_read	rows_written	qc_pass_count	qc_fail_count	qc_pass_rate	fail_lon	fail_lat	fail_depth_positive	fail_depth_extreme	fail_elev_negative	fail_nan	fail_zero_depth	status	notes
MR03-K02_bathymetry_dmo::20030527.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030527.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030527.parquet	621836	621836	621836	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030606.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030606.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030606.parquet	916265	916265	916265	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030529.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030529.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030529.parquet	564804	564804	564804	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030524.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030524.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030524.parquet	513869	513869	513869	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030528.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030528.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030528.parquet	597426	597426	597426	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030525.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030525.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030525.parquet	473830	473830	473830	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030522.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030522.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030522.parquet	533684	533684	533684	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030523.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030523.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030523.parquet	557336	557336	557336	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030521.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030521.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030521.parquet	365453	365453	365453	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030526.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030526.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030526.parquet	599506	599506	599506	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030530.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030530.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030530.parquet	537227	537227	537227	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030605.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030605.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030605.parquet	286358	286358	286358	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030601.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030601.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030601.parquet	629145	629145	629145	0	1.0	0	0	0	0	0	0	0	ok	
MR03-K02_bathymetry_dmo::20030531.dat	derived/points_raw/MR03-K02_bathymetry_dmo__20030531.parquet	derived/points_qc/MR03-K02_bathymetry_dmo__20030531.parquet	788921	788921	788921	0	1.0	0	0	0	0	0	0	0	ok	
KR10-E04_bathymetry_dmo::T20101012.dat	derived/points_raw/KR10-E04_bathymetry_dmo__T20101012.parquet	derived/points_qc/KR10-E04_bathymetry_dmo__T20101012.parquet	1677784	1677784	1677784	0	1.0	0	0	0	0	0	0	0	ok	
KR10-E04_bathymetry_dmo::T20101010.dat	derived/points_raw/KR10-E04_bathymetry_dmo__T20101010.parquet	derived/points_qc/KR10-E04_bathymetry_dmo__T20101010.parquet	209998	209998	209998	0	1.0	0	0	0	0	0	0	0	ok	
KR10-E04_bathymetry_dmo::T20101011.dat	derived/points_raw/KR10-E04_bathymetry_dmo__T20101011.parquet	derived/points_qc/KR10-E04_bathymetry_dmo__T20101011.parquet	102706	102706	102706	0	1.0	0	0	0	0	0	0	0	ok	
KR10-E04_bathymetry_dmo::T20101009.dat	derived/points_raw/KR10-E04_bathymetry_dmo__T20101009.parquet	derived/points_qc/KR10-E04_bathymetry_dmo__T20101009.parquet	279722	279722	279722	0	1.0	0	0	0	0	0	0	0	ok	
